driver_id,driver_label,global_theme,driver_scope,driver_prior_weight,activation_evidence_required,counter_evidence_required,enabled
MATURE_NODE_FOUNDRY_UTILIZATION,Mature-node foundry utilization / pricing,Foundry,"mature and specialty node utilization, wafer pricing, customer inventory and end-demand; do not infer from leading-edge AI demand",1.0,At least one time-consistent primary/official or high-quality source confirming mature/specialty-node utilization pricing or end-demand; distinguish company-specific from industry-wide.,"Search for contradictory mature-node utilization, wafer pricing, inventory and end-demand evidence; leading-edge AI strength is not confirmation; report UNKNOWN if unresolved.",1
WAFER_FAB_EQUIPMENT_CAPEX,Wafer-fab equipment capex,Semiconductor_Equipment,wafer-fab equipment/consumables capex,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
ADVANCED_PACKAGING_TEST_CAPEX,Advanced packaging / test capex,Semiconductor_Equipment,CoWoS/advanced packaging/test/probe capex,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
MLCC_DEMAND_PRICING,MLCC demand / pricing cycle,MLCC,"MLCC utilization, pricing and end-demand",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
GRID_CAPEX,Grid modernization / transformer and cable capex,Power_Grid,"transformer, switchgear, cable and grid modernization capex; physical grid demand, not copper-price inference",1.0,At least one time-consistent primary/official or high-quality source confirming physical grid/utility capex orders or project demand; distinguish company-specific vs industry-wide.,"Search for contradictory utility capex, order backlog, project timing or cable/transformer demand evidence; copper price alone is not confirmation; report UNKNOWN if unresolved.",1
POWER_ELECTRONICS_CAPEX,Power equipment / electronics capex,Power,power electronics/equipment capex; not automatically nuclear,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
NUCLEAR_GRID_SECOND_ORDER,Nuclear buildout second-order grid equipment,Nuclear_Power,only nuclear-specific buildout evidence; second-order grid benefit,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
CONTAINER_FREIGHT,Container freight / liner shipping cycle,Shipping,container spot/contract freight and liner utilization,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
DRY_BULK_FREIGHT,Dry-bulk freight / commodity shipping cycle,Shipping,BDI/Capesize/Panamax and commodity-volume freight cycle,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
COPPER_COMMODITY_TRADE_INVENTORY,Copper commodity price / trade-inventory cycle,Copper,"LME/COMEX copper pricing, exchange inventories, regional premia, tariffs/trade dislocations and physical tightness; does not prove cable/grid volume demand",1.0,At least one time-consistent primary/official or high-quality source confirming copper commodity pricing/inventory/trade-dislocation conditions; distinguish commodity tightness from downstream demand.,"Search for contradictory exchange inventory, physical premium, import/export, tariff, supply and demand evidence; grid capex or cable orders must be validated separately; report UNKNOWN if unresolved.",1
ENTERPRISE_CYBER_SPEND,Enterprise cybersecurity spending,Cybersecurity,"enterprise security budgets, subscriptions, channel demand",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
BIOPHARMA_RISK_APPETITE,Biopharma risk appetite / clinical-commercial cycle,Biotech,biopharma funding/clinical/commercial environment,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
GENOMICS_RISK_APPETITE,Genomics risk appetite / platform cycle,Genomics,genomics platform demand / funding / clinical environment,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
FINANCIALS_RATE_CREDIT_CYCLE,Financials rate / credit / margin cycle,Financials,"NIM, rates, credit quality and loan growth",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
CONSUMER_ELECTRONICS_CYCLE,Consumer electronics demand cycle,Consumer_Tech,consumer electronics units and manufacturing cycle,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
OPTICAL_COMPONENT_DEMAND,Optical-component / photonics demand,Photonics,"datacom and telecom optical-component units and ASP; laser diode passive filter and fiber-laser orders; satellite optical demand only when company exposure is verified",1.0,At least one time-consistent source confirming optical-component orders shipments utilization or end-market demand for the company-relevant segment.,"Search for contradictory optical unit demand ASP inventory customer capex or segment-mix evidence; generic AI strength is not confirmation.",1
SEMICONDUCTOR_FAB_UTILIZATION_CONSUMABLES,Semiconductor fab-utilization / consumables demand,Semiconductor_Consumables,"wafer starts fab utilization CMP step intensity consumables usage and reclaim-wafer demand",1.0,At least one time-consistent source confirming wafer starts fab utilization CMP consumable demand or reclaim-wafer utilization.,"Search for contradictory fab utilization wafer-start inventory consumables pricing or customer-order evidence; equipment capex alone is not confirmation.",1
LEO_SATCOM_DEPLOYMENT,LEO satellite / ground-infrastructure deployment,Satcom,"constellation deployment satellite launches gateway buildout microwave backhaul and RF component demand; not generic space-sector price strength",1.0,At least one time-consistent source confirming constellation deployments gateway orders ground-equipment demand or company-relevant RF and microwave orders.,"Search for delays launch slippage gateway capex cuts customer concentration or order cancellations; generic satellite-stock strength is not confirmation.",1
CLINICAL_REGULATORY_COMMERCIALIZATION,Clinical / regulatory / commercialization milestones,Biotech,"product-specific regulatory approvals clinical enrollment or readout commercialization licensing revenue and cash runway; sector ETF price is risk context only",1.0,At least one product-specific primary or high-quality source confirming the current regulatory clinical or commercial milestone and its timing.,"Search for trial failure safety issues regulatory delay weak adoption financing dilution or runway risk; XBI and IBB must not validate the company thesis.",1
SILICON_WAFER_DEMAND_PRICING,Silicon-wafer demand / pricing cycle,Silicon_Wafer,"200mm and 300mm silicon-wafer shipments ASP customer inventory foundry utilization and supplier guidance",1.0,At least one time-consistent source confirming silicon-wafer shipment pricing inventory or utilization conditions from suppliers or major customers.,"Search for wafer inventory correction utilization weakness price concessions delayed LTAs or capacity oversupply; broad semiconductor strength is not sufficient.",1
REINSURANCE_PRICING_CATA_CYCLE,Reinsurance pricing / catastrophe cycle,Reinsurance,"renewal rate changes catastrophe losses combined ratio retrocession capacity and investment yield",1.0,At least one time-consistent source confirming renewal pricing catastrophe-loss conditions underwriting margins or investment-yield transmission.,"Search for adverse reserve development rate softening catastrophe losses capital inflow or investment-yield reversal.",1
TAIWAN_AUTO_DEMAND,Taiwan auto-registration / delivery demand,Auto,"Taiwan new-car registrations brand market share deliveries supply allocation JPY/TWD and financing conditions; overseas OEM share prices are context only",1.0,At least one time-consistent local source confirming registrations deliveries market share supply or pricing conditions relevant to the company.,"Search for registration declines delivery delays price cuts FX headwinds inventory buildup or financing deterioration; overseas OEM price strength is not confirmation.",1
ANALOG_PMIC_DEMAND,Analog / PMIC demand cycle,Analog_IC,"PMIC unit demand design wins channel inventory ASP and PC server consumer industrial end-market shipments",1.0,At least one time-consistent source confirming PMIC orders design wins channel inventory or end-market shipment demand.,"Search for analog inventory correction pricing pressure design-loss evidence or end-market shipment weakness.",1
MOBILE_RF_FRONTEND_DEMAND,Mobile RF front-end demand,RF_Semiconductor,"smartphone units RF content per device band complexity GaAs and InP epi or foundry utilization and RF front-end inventory",1.0,At least one time-consistent source confirming handset units RF content demand inventory or GaAs and InP utilization relevant to the company.,"Search for smartphone shipment weakness RF inventory correction content loss pricing pressure or customer concentration; optical demand must be validated separately.",1
PETROCHEMICAL_CYCLE,Petrochemical feedstock / product spread cycle,Petrochemicals,"naphtha ethylene propylene aromatics PVC PE PP ABS polyester and downstream chemical product spreads utilization inventories and China Asia supply demand; distinguish refining margins from petrochemical spreads",0.8,"At least one time-consistent source confirming relevant Asian petrochemical product pricing spread utilization inventory or end-demand; company mapping must specify material chain.","Search for feedstock cost squeeze oversupply inventory buildup utilization cuts import export shifts and weak downstream demand; crude price alone is not confirmation.",1
REFINING_MARGIN_CYCLE,Refining margin / crack-spread cycle,Refining,"gasoline diesel jet fuel refining margins crack spreads refinery utilization inventories and maintenance; petrochemical cracker margins must be validated separately",0.8,"At least one time-consistent source confirming regional refining margins crack spreads product inventories utilization or maintenance conditions.","Search for margin compression product inventory builds demand weakness capacity additions and maintenance changes; crude direction alone is not confirmation.",1
TELECOM_SERVICE_CYCLE,Telecom service / ARPU and enterprise ICT cycle,Telecom,"mobile ARPU subscriber mix 5G monetization fixed broadband enterprise ICT cloud IDC cybersecurity and telecom capex; regulated spectrum and competition matter",0.75,"At least one time-consistent source confirming ARPU subscriber broadband enterprise ICT IDC cloud or telecom capex trends relevant to the operator.","Search for ARPU pressure churn price competition capex burden spectrum cost enterprise ICT slowdown and regulatory changes.",1
PC_GAMING_HARDWARE_CYCLE,PC / gaming hardware replacement and GPU cycle,PC_Hardware,"PC units gaming notebook motherboard add-in-board GPU desktop and channel inventory replacement cycle; AI server demand must be mapped separately",0.8,"At least one time-consistent source confirming PC gaming GPU motherboard notebook shipment channel inventory or product-cycle demand.","Search for channel inventory GPU or CPU launch delays weak sell-through pricing pressure and PC shipment contraction.",1
DISPLAY_PANEL_CYCLE,Display panel demand / pricing and utilization cycle,Display,"LCD OLED panel prices utilization inventories TV monitor notebook automotive display demand and capacity discipline",0.75,"At least one time-consistent source confirming panel pricing utilization inventory or end-market unit demand.","Search for panel price declines utilization cuts inventory builds capacity additions and weak TV monitor notebook demand.",1
DISPLAY_DRIVER_IC_CYCLE,Display driver IC / TCON demand cycle,Display_IC,"DDIC TCON OLED driver unit demand ASP channel inventory panel shipments and foundry utilization; do not infer from general semiconductor strength",0.75,"At least one time-consistent source confirming DDIC TCON orders ASP inventory panel shipment or relevant foundry utilization.","Search for panel shipment weakness DDIC inventory correction ASP pressure design losses and mature-node utilization weakness.",1
DISCRETE_POWER_SEMI_CYCLE,Discrete / power semiconductor demand cycle,Power_Semiconductor,"diodes rectifiers MOSFET IGBT SiC power-device unit demand ASP inventory and industrial auto consumer server end-markets",0.75,"At least one time-consistent source confirming discrete or power-semiconductor orders utilization ASP inventory or end-market demand relevant to the company.","Search for channel inventory pricing pressure utilization weakness design losses and end-market slowdown; AI exposure must be validated separately.",1
INDUSTRIAL_CHEMICAL_CYCLE,Industrial / specialty chemical demand cycle,Chemicals,"commodity and specialty chemical product pricing feedstock spreads utilization inventories and industrial end-demand; map exact chemical family at company level",0.7,"At least one time-consistent source confirming relevant chemical product pricing spread utilization inventory or industrial end-demand.","Search for feedstock squeeze oversupply inventory builds utilization cuts import pressure and downstream demand weakness.",1
PASSIVE_COMPONENT_CYCLE,Passive component demand / inventory cycle,Passive_Components,"resistors inductors protection components LEDs and other passive component demand ASP utilization channel inventory and electronics industrial auto end-markets; MLCC has its own specific driver",0.7,"At least one time-consistent source confirming passive-component orders ASP utilization inventory or relevant end-market demand.","Search for inventory correction ASP pressure utilization weakness order cancellations and end-market slowdown.",1
